model,k,estimate,ci_low,ci_high,link_mean,link_sd,tau_scale,tau_median,tau_low,tau_high,pi_low,pi_high,p_rr_gt_1,p_rr_below_0.80,p_rr_in_null,p_rr_above_1.25,p_new_rr_gt_1,p_new_rr_below_0.80,p_new_rr_in_null,p_new_rr_above_1.25
primary_k3_hn05,3,1.5924759399724528,0.984989997782125,3.117406013338395,0.4917860313644,0.2767560456467561,0.5,0.254057,0.009737289,0.9791338749999999,0.5999576527581946,5.1980195234561855,0.9730625,0.0085625,0.1049375,0.8865,0.904625,0.0519375,0.148875,0.7991875
sens_prior_hn025,3,1.5511816572525183,1.1200183013853247,2.380545716967445,0.45193702770725,0.18484435437890007,0.25,0.13673950000000001,0.0061083757500000006,0.5173718749999999,0.9007637470362875,3.068348032565162,0.9935,6.875e-4,0.082125,0.9171875,0.959,0.0150625,0.1334375,0.8515
sens_prior_hn1,3,1.612588255088883,0.7422547997709205,3.722205107284228,0.497942544893125,0.37394297879779387,1,0.424353,0.0167529675,1.6410832499999997,0.2977887360256618,9.613045503797903,0.931,0.031875,0.1288125,0.8393125,0.8438125,0.1059375,0.1551875,0.738875
sens_k4_hn05,4,1.6360985913172486,1.1419155689794493,2.8004391684630194,0.5131728516749375,0.2182734181355819,0.5,0.21172249999999998,0.00860428375,0.83167525,0.7574180802251654,4.282165209368439,0.991,0.0018125,0.0581875,0.94,0.9391875,0.0296875,0.1211875,0.849125
sens_k3_missing_not_employed,3,1.5946894259719888,0.9583858465799127,3.1008794060874654,0.48917236114981877,0.28487318909934367,0.5,0.2940505,0.012246964999999999,0.9931687749999998,0.5566525010355985,5.432902204380172,0.9678125,0.00925,0.1194375,0.8713125,0.889875,0.0625625,0.1638125,0.773625
sens_k4_missing_not_employed,4,1.693174213329054,1.116308221885584,3.020414278566641,0.549387128402125,0.2441308634387059,0.5,0.27799949999999995,0.0121107775,0.9026858749999997,0.6910614099754594,5.063351704727333,0.989875,0.0031875,0.058375,0.9384375,0.9215,0.03925,0.1265625,0.8341875
loo_ERICKSON_2021,2,1.7729006676003398,0.8273725331494437,4.330150300858671,0.596023280666625,0.40170629766201876,0.5,0.41410400000000003,0.024304502500000002,1.1431894999999999,0.43935527827027515,8.118906404346136,0.94575,0.022,0.1195,0.8585,0.8715,0.0785,0.1441875,0.7773125
loo_KILLACKEY_2008,2,1.4414383944819695,0.8088087872111188,2.333181831172813,0.35362830549310625,0.2495474987920944,0.5,0.185452,0.00791234675,0.8542384749999999,0.5530730811476512,3.4403381800081454,0.9325625,0.0239375,0.2054375,0.770625,0.8810625,0.0631875,0.21525,0.7215625
loo_KILLACKEY_2019,2,1.769016071125732,0.8251932327777873,4.372713480996173,0.5987936439945,0.4069824349384319,0.5,0.42667900000000003,0.02807547,1.15445525,0.4607736357600353,8.24355745039317,0.9460625,0.0219375,0.1215625,0.8565,0.8641875,0.0808125,0.1526875,0.7665
