model,max_rhat,min_ess_bulk,min_ess_tail,divergences,max_treedepth,min_ebfmi,passes_gate,attempt_id
primary_strict_point_hn1,1.0011790045210105,3144.128838259582,4043.159287091225,0,7,0.7506387142839058,TRUE,1
secondary_period_hn1,1.0003596281796516,2682.4206280330027,3663.1035170244454,0,8,0.7598425876428164,TRUE,1
sens_prior_hn05,1.001331812107438,3579.8809972996282,5339.9667761273195,0,7,0.7510879470787412,TRUE,1
sens_prior_hn2,1.0009756061409512,2949.339536479865,4156.139093851658,0,7,0.7129786523998147,TRUE,1
sens_point_relaxed_k14,1.0011854587307385,2473.095359861691,3809.8991571912215,0,8,0.7308044211099686,TRUE,1
sens_legacy_k23,1.0010360477151687,2236.205372566072,3999.1609272324654,0,7,0.6927892799595212,TRUE,1
sens_strict_excl_weak,1.001751868570335,3277.557813077575,3820.8668092224766,0,8,0.755666225796816,TRUE,1
sens_strict_excl_exposed,1.0008491106065611,3569.4705029167017,5102.854424884945,0,7,0.735336804942231,TRUE,1
sens_strict_missing_not_employed_bound,1.0018906694218261,2933.507945897979,4442.272723587718,0,7,0.7641879835737639,TRUE,1
sens_strict_normal_normal_hn1,1.002024775136454,2889.224060468427,3983.3359130119775,0,7,0.715531153866333,TRUE,1
loo_ABDELBAKI_2013,1.0018014777063076,3645.5560883411576,5048.27512927548,0,7,0.7449868033560151,TRUE,1
loo_ANDERSEN_2024,1.000921032495337,3224.55116652586,4584.0014465050235,0,7,0.7608935226914193,TRUE,1
loo_CRAIG_2014,1.0011212334559765,2995.9992244690698,3818.9507203068847,0,7,0.7480733335645162,TRUE,1
loo_DUDLEY_2014,1.000729487341824,3712.643197661669,4641.34562449342,0,7,0.7476498457401843,TRUE,1
loo_EACK_2011,1.0006692624170055,3087.7405405891636,4326.198694130996,0,7,0.7331725571725385,TRUE,1
loo_HEGELSTAD_2019,1.0015583494876503,2574.344989770595,4217.9110321670605,0,7,0.7211702093552392,TRUE,1
loo_POTHIER_2019,1.0010759807271765,3020.7756646392354,4431.231111352612,0,8,0.7046253095248832,TRUE,1
loo_RINALDI_2010,1.0010721838015768,3235.4432621457504,4513.394993908405,0,7,0.7231239823368175,TRUE,1
loo_ROSENHECK_2017,1.0014356431314755,3044.9113267168705,4531.343888841171,0,8,0.7438404061228707,TRUE,1
loo_VANDUIN_2021,1.0022749347309932,2820.839110557721,4392.131521730602,0,7,0.7418253353884489,TRUE,1
