model,k,estimate,ci_low,ci_high,link_mean,link_sd,tau_scale,tau_median,tau_low,tau_high,pi_low,pi_high,p_below_50,left_out
loo_ABDELBAKI_2013,9,0.32033221463086536,0.24193477811635714,0.4158437706207689,-0.750565093634375,0.19832241852660792,1,0.4923645,0.27702185,0.953301375,0.1293129872257705,0.6079532622408993,0.998875,ABDELBAKI_2013
loo_ANDERSEN_2024,9,0.3426549740430303,0.24585193644186773,0.4599613492222475,-0.6486636226040625,0.23999000521519234,1,0.6223875,0.36969977499999995,1.1596914999999992,0.10801950699629473,0.694669397769742,0.9921875,ANDERSEN_2024
loo_CRAIG_2014,9,0.3484530403628433,0.25067228066467573,0.46643999010549875,-0.62073084560175,0.23931694978022947,1,0.6188020000000001,0.36653824999999995,1.13689925,0.11286609153834401,0.6990089721041507,0.9910625,CRAIG_2014
loo_DUDLEY_2014,9,0.36998352320562,0.28917229208869255,0.4623394565934718,-0.5274519030854375,0.186777212357771,1,0.45774349999999997,0.252464525,0.8811198499999999,0.16678054380107574,0.6383893246420133,0.993375,DUDLEY_2014
loo_EACK_2011,9,0.3421570236304175,0.2476600487534782,0.45421434208421785,-0.651738062439375,0.23212510099265857,1,0.6138865,0.363962075,1.1444079999999999,0.10890290071600325,0.6838475745930257,0.995,EACK_2011
loo_HEGELSTAD_2019,9,0.35181675139910173,0.25534213871343564,0.46489659608154393,-0.610329290174875,0.23263278978601945,1,0.6078595,0.35834344999999995,1.1112237499999997,0.11482985485374096,0.6942332950761423,0.991625,HEGELSTAD_2019
loo_POTHIER_2019,9,0.3389266701082316,0.24632053303691895,0.44916465491530405,-0.6663459289890625,0.23086121319986938,1,0.60152,0.35432277500000003,1.1386107499999998,0.11176934729570552,0.6834301108596984,0.9956875,POTHIER_2019
loo_RINALDI_2010,9,0.3332720431854014,0.23999224990577955,0.4425849479322654,-0.6922526767486875,0.23104043249605777,1,0.590983,0.34324732500000005,1.0753039999999998,0.10894440780855452,0.668428575698201,0.996875,RINALDI_2010
loo_ROSENHECK_2017,9,0.360552026230076,0.26783529988054117,0.4724132748335043,-0.570434060191,0.22352663451164648,1,0.5716495,0.329857025,1.0688599999999997,0.12936432087630798,0.6885151825848369,0.9901875,ROSENHECK_2017
loo_VANDUIN_2021,9,0.33410226032261575,0.24288423263431885,0.4507110009720662,-0.6849693020783125,0.23347719558520827,1,0.5976764999999999,0.35261737499999996,1.1307509999999998,0.11057771504049008,0.6767969314629194,0.995625,VANDUIN_2021
