model,term,k,estimate_logit,ci_low,ci_high,odds_ratio,or_low,or_high,p_gt_0
mr_design,design_rct,23,0.2281415,-0.4698333,0.9343986499999997,1.2562630740813132,0.6251064648453657,2.545682151397876,0.74275
mr_timepoint,time_years_c,23,0.187992,-0.5473065750000001,0.9132764749999999,1.2068238607201012,0.5785058760558952,2.4924757035926817,0.6988125
mr_exposure,exposurepart,23,-0.0219659,-0.9268474750000001,0.8716005249999994,0.9782735936119855,0.39579951348835024,2.3907342229010604,0.4829375
mr_exposure,exposureall,23,0.26949900000000004,-0.6130624750000001,1.14988425,1.309308322917172,0.5416894159995134,3.1578273700164874,0.735125
mr_exposure,exposureunknown,23,0.3941985,-0.561726175,1.3345527499999998,1.4831949336504073,0.5702239075637218,3.798296778237042,0.800875
mr_attrition,attrition_c,23,-0.22237200000000001,-1.59703775,1.1789544999999997,0.8006174792291915,0.20249547264380804,3.25097353267067,0.3745625
mr_outcome_basis,basis_period,23,0.05020415,-0.601797925,0.7051012,1.0514857352788698,0.5478258004280593,2.0240515085707638,0.5614375
