model,k,or,or_low,or_high,link_mean,link_sd,p_or_gt_1,tau_median,tau_low,tau_high,pooled_control_risk,rr_at_p0,rr_at_p0_low,rr_at_p0_high
exact_binomial_k3,3,3.0939543573365578,1.4726709141643566,6.179922771889495,1.1271103937,0.3589250062046311,0.996625,0.334801,0.014831980000000002,1.0597945,0.42748091603053434,1.6325854480441784,1.2251248812135218,1.9226232357751951
exact_binomial_k4,4,3.3107177219590485,1.7636059114186375,6.170169139568745,1.19576082296375,0.31493784070861686,0.9990625,0.29299949999999997,0.015410442500000001,0.970740025,0.4178082191780822,1.6844691350364234,1.337036637102406,1.9524991855423859
