h1_scale_label,s,rr_scale,tau_scale,bf_bridge,h1_error_pct,h0_error_pct
primary_log2,0.6931471805599453,2,0.5,6.623551628445712,1%,1%
frederick_published,0.4885800148186709,1.63,0.5,7.3059597681776225,1%,1%
bond2015,0.5247285289349821,1.69,0.5,7.220790760616933,1%,1%
bond2016,0.6729444732424258,1.96,0.5,6.715834111731614,1%,1%
modini2016,0.8754687373538999,2.4,0.5,5.862728575285392,1%,1%
