Study left out,k,Estimate (95% CrI)
ABDELBAKI_2013,9,32.0 (24.2 to 41.6)
ANDERSEN_2024,9,34.3 (24.6 to 46.0)
CRAIG_2014,9,34.8 (25.1 to 46.6)
DUDLEY_2014,9,37.0 (28.9 to 46.2)
EACK_2011,9,34.2 (24.8 to 45.4)
HEGELSTAD_2019,9,35.2 (25.5 to 46.5)
POTHIER_2019,9,33.9 (24.6 to 44.9)
RINALDI_2010,9,33.3 (24.0 to 44.3)
ROSENHECK_2017,9,36.1 (26.8 to 47.2)
VANDUIN_2021,9,33.4 (24.3 to 45.1)
