Model,k,Egger t (df),Egger p,Trim-and-fill k0,Adjusted prevalence (95% CI),p vs 50%
legacy_k23_as_submitted,23,-1.19 (21),0.248,1,38.5 (31.1 to 46.5),0.0051
legacy_k23_corrected,23,-1.15 (21),0.262,0,38.1 (30.7 to 46.1),0.0057
