Quantity,P(RR < 0.80),P(0.80 to 1.25),P(RR > 1.25),P(RR > 1)
Pooled effect,0.009,0.105,0.886,0.973
A new trial,0.052,0.149,0.799,0.905
"Pooled effect, normal approximation",0.005,0.161,0.834,0.962
