h1_scale_label,s,rr_scale,bf_fixed_effect,bf_posterior_normal_approx
primary_log2,0.6931471805599453,2,290.9721516671303,2.751353582781576
frederick_published,0.4885800148186709,1.63,343.2126729564469,3.058545909087173
bond2015,0.5247285289349821,1.69,335.25965328307495,3.0226287652739043
bond2016,0.6729444732424258,1.96,296.3190514339192,2.788323801663955
modini2016,0.8754687373538999,2.4,247.17089130574715,2.4184106655206454
