Study,Comparison,Intervention,Comparator,Events/n intervention,Events/n control,RR (95% CI)
Craig 2014,IPS plus adjunct vs IPS (RCT; add-on question),29/68,IPS,12/66,2.35 (1.31 to 4.19),minimal
Dudley 2014,Non-randomised comparison,18/104,EIP,12/90,1.30 (0.66 to 2.55),minimal
Eack 2011,Non-vocational intervention RCT,13/24,Enriched Supportive Therapy (EST),4/22,2.98 (1.14 to 7.78),minimal
Fowler 2019,Non-vocational intervention RCT,5/20,TAU,0/24,13.10 (0.77 to 223.33),minimal
Hegelstad 2019,Non-randomised comparison,14/30,Generic employment/educational services,2/27,6.30 (1.57 to 25.23),minimal
Major 2010,Non-randomised comparison,16/44,TAU (EIS without VIBE),13/70,1.96 (1.05 to 3.67),minimal
Rosenheck 2017,NAVIGATE vs community care (cluster-randomised RAISE-ETP),30/144,Community Care,21/83,0.82 (0.51 to 1.34),minimal
van Duin 2021,IPS plus adjunct vs IPS (RCT; add-on question),18/29,IPS + control (computer games),7/27,2.39 (1.19 to 4.81),minimal
