quantity,p_rr_below_0.80,p_rr_in_null,p_rr_above_1.25,p_rr_gt_1
pooled_effect,0.0085625,0.1049375,0.8865,0.9730625
new_trial,0.0519375,0.148875,0.7991875,0.904625
pooled_effect_normal_approx,0.004893742812681043,0.16095925490366295,0.834147002283656,0.9622130675007197
