h1_scale_label,bf_random_effects,bf_bridge,h1_error_pct,h0_error_pct,ratio,agrees_2sf,relative_discrepancy_pct
primary_log2,6.411783119864335,6.49180438214092,1%,1%,1.0124803445126942,FALSE,1.2480344512694197
frederick_published,7.060945517569785,7.224435314562805,1%,1%,1.023154094106265,FALSE,2.31540941062649
bond2015,6.994646013994833,6.9669703996029755,1%,1%,0.9960433145099145,TRUE,0.3956685490085543
bond2016,6.493354474368314,6.655992415006488,1%,1%,1.0250468292282775,FALSE,2.50468292282775
modini2016,5.668679232294824,5.724439402838045,1%,1%,1.0098365365649111,TRUE,0.9836536564911125
