study_id_clean,shrunken,shrunken_low,shrunken_high,study_label,region,events,n_assessed,quality_rating,conflict_grade,observed,observed_low,observed_high
ABDELBAKI_2013,0.42143569381210755,0.32773834741668256,0.5220601441196193,Abdel-Baki 2013,North America,40,91,Weak,definite,0.43956043956043955,0.34080033859852144,0.5420975327476159
ANDERSEN_2024,0.3532978418094906,0.3158697874771206,0.39292693703293197,Andersen 2024,Oceania,205,578,Weak,possible,0.3546712802768166,0.3164723515135955,0.39432155567057947
CRAIG_2014,0.2734406949937923,0.20497160074203136,0.3480723261938635,Craig 2014,Europe,36,134,Moderate,possible,0.26865671641791045,0.1991146809671756,0.34806906534664694
DUDLEY_2014,0.1679941241227923,0.12021727694663822,0.22621333847305866,Dudley 2014,Europe,30,194,Moderate,possible,0.15463917525773196,0.1090274914692202,0.21046138744357812
HEGELSTAD_2019,0.28576042712433514,0.18833941238408602,0.39825720695398553,Hegelstad 2019,Europe,16,57,Strong,definite,0.2807017543859649,0.1769826021591661,0.4060543717696209
RINALDI_2010,0.4247917830614769,0.3468583487125056,0.504315586578884,Rinaldi 2010,Europe,62,142,Weak,possible,0.43661971830985913,0.35700554642738724,0.5187883289946337
