h1_scale_label,s,rr_scale,tau_scale,bf_bridge,bf_quadrature,agree_2sf,discrepancy_pct,h1_error_pct,h0_error_pct,category_quadrature
primary_log2,0.6931471805599453,2,0.5,2.071628205065181,2.024995510321998,FALSE,2.302854228835679,1%,1%,insensitive
frederick_published,0.4885800148186709,1.63,0.5,2.422335544793482,2.3684863386970565,TRUE,2.273570474805805,1%,1%,insensitive
bond2015,0.5247285289349821,1.69,0.5,2.3938414872647296,2.3089029304725592,FALSE,3.678740915053804,1%,1%,insensitive
bond2016,0.6729444732424258,1.96,0.5,2.131589901396024,2.058060911704424,TRUE,3.572731461611859,1%,1%,insensitive
modini2016,0.8754687373538999,2.4,0.5,1.8215085788172676,1.752645563491718,TRUE,3.9290896436788327,1%,1%,insensitive
