model,k,estimate,ci_low,ci_high,link_mean,link_sd,tau_scale,tau_median,tau_low,tau_high,pi_low,pi_high,p_rr_gt_1,p_rr_below_0.80,p_rr_in_null,p_rr_above_1.25,p_new_rr_gt_1,p_new_rr_below_0.80,p_new_rr_in_null,p_new_rr_above_1.25,left_out
rc_trial_a33_k3_hn05,3,1.4095401278114774,0.8072016274134827,2.9592356244944886,0.37492400796625,0.3160234035686404,0.5,0.3845305,0.023106922500000005,1.0777814999999997,0.4254831230518588,5.537531912678121,0.9193125,0.0235,0.2803125,0.6961875,0.8080625,0.108,0.2635,0.6285,NA
rc_trial_a33_k3_hn025,3,1.3680529166735176,0.9541921267575951,2.2706996538967203,0.33120578875373125,0.2123890529450627,0.25,0.2097255,0.0133668325,0.5944601749999999,0.7074236799600354,3.1128288386252514,0.95975,0.0044375,0.2959375,0.699625,0.8839375,0.0416875,0.318,0.6403125,NA
rc_trial_a33_k3_hn1,3,1.4604702896566222,0.6306189227696587,3.7128666134549944,0.40780303856268124,0.42807675732619976,1,0.621945,0.050231205,1.8335277499999998,0.20128537109206723,11.627768800466994,0.869625,0.0565625,0.2513125,0.692125,0.749125,0.1723125,0.2155625,0.612125,NA
rc_trial_a33_k3_missing_hn05,3,1.4682078393890583,0.7765211750450199,3.3257517894631294,0.412081690758645,0.3502931223890749,0.5,0.4688595,0.06619669,1.1247834999999997,0.4017929056859898,6.491004433245319,0.9103125,0.030375,0.2520625,0.7175625,0.7851875,0.1255,0.242875,0.631625,NA
rc_loo_trial_ERICKSON_2021,2,1.7729006676003398,0.8273725331494437,4.330150300858671,0.596023280666625,0.40170629766201876,0.5,0.41410400000000003,0.024304502500000002,1.1431894999999999,0.43935527827027515,8.118906404346136,0.94575,0.022,0.1195,0.8585,0.8715,0.0785,0.1441875,0.7773125,ERICKSON_2021
rc_loo_trial_KILLACKEY_2008,2,1.2310802058107595,0.6562653372516691,2.109113460839688,0.1963103738899125,0.2793899696628866,0.5,0.26536499999999996,0.016541315,0.9317144249999997,0.40039620374102874,3.3546959008460173,0.8170625,0.0588125,0.47225,0.4689375,0.7488125,0.130625,0.3883125,0.4810625,KILLACKEY_2008
rc_loo_trial_KILLACKEY_2019,2,1.4620981601674323,0.6662143780316215,4.0661018099994815,0.4195177343963337,0.4519124429972001,0.5,0.5246145,0.040307627500000005,1.2266087499999998,0.3333459765383396,8.225188622156871,0.8438125,0.0574375,0.29325,0.6493125,0.7485625,0.1531875,0.252875,0.5939375,KILLACKEY_2019
