model,k,estimate,ci_low,ci_high,link_mean,link_sd,tau_scale,tau_median,tau_low,tau_high,pi_low,pi_high,p_rr_gt_1,p_rr_below_0.80,p_rr_in_null,p_rr_above_1.25,p_new_rr_gt_1,p_new_rr_below_0.80,p_new_rr_in_null,p_new_rr_above_1.25,left_out
rc_loo_trial_ERICKSON_2021,2,1.7729006676003398,0.8273725331494437,4.330150300858671,0.596023280666625,0.40170629766201876,0.5,0.41410400000000003,0.024304502500000002,1.1431894999999999,0.43935527827027515,8.118906404346136,0.94575,0.022,0.1195,0.8585,0.8715,0.0785,0.1441875,0.7773125,ERICKSON_2021
rc_loo_trial_KILLACKEY_2008,2,1.2310802058107595,0.6562653372516691,2.109113460839688,0.1963103738899125,0.2793899696628866,0.5,0.26536499999999996,0.016541315,0.9317144249999997,0.40039620374102874,3.3546959008460173,0.8170625,0.0588125,0.47225,0.4689375,0.7488125,0.130625,0.3883125,0.4810625,KILLACKEY_2008
rc_loo_trial_KILLACKEY_2019,2,1.4620981601674323,0.6662143780316215,4.0661018099994815,0.4195177343963337,0.4519124429972001,0.5,0.5246145,0.040307627500000005,1.2266087499999998,0.3333459765383396,8.225188622156871,0.8438125,0.0574375,0.29325,0.6493125,0.7485625,0.1531875,0.252875,0.5939375,KILLACKEY_2019
