model,max_rhat,min_ess_bulk,min_ess_tail,divergences,max_treedepth,min_ebfmi,passes_gate,attempt_id
rc_a33_point_primary_hn1,1.0012285703779347,2915.6904999924245,4290.951094229504,0,7,0.7883328293334838,TRUE,1
rc_a33_point_prior_hn05,1.0009763041774005,3393.696782594233,4369.912592870441,0,7,0.8082739651694658,TRUE,1
rc_a33_point_prior_hn2,1.0023840483420436,2802.44817296096,3150.7943757705716,0,8,0.7366830536874058,TRUE,1
rc_a33_point_duration_sens_hn1,1.0004966741211265,3028.514965810351,3737.5972579198046,0,7,0.7396870503611755,TRUE,1
rc_a33_period_hn1,1.0013777409049587,3019.553633182583,4137.257580668672,0,8,0.7843010192484845,TRUE,1
rc_a33_point_excl_weak_hn1,1.0033416097759158,2771.067126785284,3006.51722890713,0,7,0.7360534453615026,TRUE,1
rc_a33_point_missing_bound_hn1,1.001134922847325,2943.6210824196833,3814.905929804953,0,8,0.7509146723356658,TRUE,1
rc_a33_point_normal_normal_hn1,1.0005743175020148,2904.3552730697343,3903.6927758195307,0,7,0.7691206150227446,TRUE,1
rc_loo_prev_ABDELBAKI_2013,1.0012673216648567,3230.867705708732,3846.505296477948,0,8,0.7978504206227262,TRUE,1
rc_loo_prev_ANDERSEN_2024,1.0010521013729199,3283.5610489701953,4244.794967284023,0,7,0.8129764002780794,TRUE,1
rc_loo_prev_CRAIG_2014,1.0016041925728627,2502.154219511384,4214.289529448547,0,7,0.7636554758101874,TRUE,1
rc_loo_prev_DUDLEY_2014,1.0012444084216774,2705.4538695251044,3425.417081367027,0,7,0.6477707873700699,TRUE,1
rc_loo_prev_HEGELSTAD_2019,1.0030267500562828,2613.0760301746823,3769.2909126824425,0,8,0.7857044937107076,TRUE,1
rc_loo_prev_RINALDI_2010,1.0029928745754166,3006.8660903091454,4328.278894338434,0,7,0.7507169199357691,TRUE,1
