model,k,estimate,ci_low,ci_high,link_mean,link_sd,tau_scale,n_assessed_total,events_total,tau_median,tau_low,tau_high,pi_low,pi_high,mean_setting_estimate,p_below_50,left_out
rc_loo_prev_ABDELBAKI_2013,5,0.29701289363459293,0.18603299965383682,0.4490211215103964,-0.85712921390625,0.3141798203451615,1,1105,349,0.599321,0.2863906,1.3845889999999996,0.08276407924335977,0.6797206745066463,0.3175747808062244,0.9901875,ABDELBAKI_2013
rc_loo_prev_ANDERSEN_2024,5,0.31041304255214763,0.18357189030465423,0.4825589359448946,-0.793303241070925,0.34850247815128965,1,618,184,0.667896,0.328427925,1.5013772499999993,0.07173853407045269,0.7265238827710802,0.3322236844928926,0.98175,ANDERSEN_2024
rc_loo_prev_CRAIG_2014,5,0.3311809815594905,0.20445272484091956,0.5068702031694896,-0.6968894187120194,0.34336433071794326,1,1062,353,0.6584775,0.32545065,1.50025125,0.08151325520721041,0.7460819922005336,0.3523891839002159,0.9719375,CRAIG_2014
rc_loo_prev_DUDLEY_2014,5,0.35807718658347965,0.26398416756740334,0.4752393854201149,-0.5795997939124374,0.22969076479184367,1,1002,359,0.3523545,0.069462035,1.0467932500000001,0.1606228592795282,0.6313514703353975,0.3656591758856156,0.9846875,DUDLEY_2014
rc_loo_prev_HEGELSTAD_2019,5,0.3250865512859047,0.20050537593400278,0.4956993292065118,-0.7257382581183688,0.3388003629347213,1,1139,373,0.654477,0.32518985,1.4781012499999997,0.08418056787828586,0.7339087985814092,0.34551244808047965,0.9763125,HEGELSTAD_2019
rc_loo_prev_RINALDI_2010,5,0.2953232849384102,0.18200795196303912,0.45434293896718586,-0.8616968318739375,0.32464685085695005,1,1054,327,0.60038,0.279218625,1.4027254999999992,0.08018094924399644,0.6806522156306164,0.3163368207003256,0.99,RINALDI_2010
