model,QM,QM_df1,QM_df2,QM_p,tau2_residual,R2
outcome_basis,0.03810571512718855,1,21,0.8471073492517976,0.5288669103400766,0
design,0.5987597659494197,1,21,0.44767568911035827,0.5092006687652144,0
region,1.8646726480424016,3,19,0.16985036207241896,0.43114284622976706,14.242735291186296
timepoint_months,0.40825445996834764,1,21,0.5297649551236312,0.5123173857764011,0
