model,k,egger_t,egger_df,egger_p,trimfill_k0,trimfill_side,adjusted_logit,adjusted_se,adjusted_prevalence,adjusted_ci_low,adjusted_ci_high,adjusted_p_vs_50pct
legacy_k23_as_submitted,23,-1.1879551186377206,21,0.24811375821547182,1,right,-0.4668543506620305,0.16660455507878494,0.3853610463371441,0.31144053155873247,0.46497858508000267,0.005076005684292501
legacy_k23_corrected,23,-1.1517924104508481,21,0.2623510734692359,0,right,-0.4854757783903838,0.15836292360214335,0.38095993628436386,0.3070599715990949,0.4608177090366961,0.005662145140691368
