study_id_clean,study_label,analysis_set,events_intervention,n_intervention,events_control,n_control,rr,rr_ci_low,rr_ci_high,log_rr,se_log_rr
ERICKSON_2021,Erickson 2021,primary,34,47,25,50,1.446808510638298,1.041434086774639,2.009973452029307,0.36936010346604814,0.16773541355718982
KILLACKEY_2008,Killackey 2008,primary,13,20,2,21,6.825,1.757072938220176,26.510353660778453,1.9205923410710235,0.6923178672430962
KILLACKEY_2019,Killackey 2019,primary,47,66,29,60,1.4733542319749215,1.0879248353371098,1.9953333377169982,0.3875415919192597,0.15472935257147782
NUECHTERLEIN_2020,Nuechterlein 2020,sensitivity_k4,25,36,5,15,2.0833333333333335,0.9862898485346007,4.4006108186416295,0.7339691750802004,0.3815174380753199
