model,interval,k,estimate,ci_low,ci_high,pi_low,pi_high,tau2,tau,I2,Q,Q_p
subgroup_point,knha,14,0.37602881267089405,0.2895607612572418,0.47119229468817403,0.12444622061435416,0.7187169338313328,0.4143315827095917,0.6436859348390267,94.33866123628421,425.32396686609775,9.919129210009573e-83
subgroup_point,wald,14,0.37602881267089405,0.29476073495119215,0.4649317526676805,0.13942921726846622,0.6915044044080005,0.4143315827095917,0.6436859348390267,94.33866123628421,425.32396686609775,9.919129210009573e-83
subgroup_period,knha,9,0.3887195782520508,0.2381969680223483,0.5639466109106639,0.07099142545276904,0.8410636667963152,0.7495081260768147,0.8657413736658395,94.36851509466543,166.91732805560133,5.705952727694919e-32
subgroup_period,wald,9,0.3887195782520508,0.25950021351711244,0.5357321361319937,0.09525427023770963,0.7934271986493564,0.7495081260768147,0.8657413736658395,94.36851509466543,166.91732805560133,5.705952727694919e-32
