study_id_clean,study_label,effect_type,timepoint_months,outcome_domain,outcome_measure,outcome_definition,r,n_r,group1_label,mean1,sd1,n1,group2_label,mean2,sd2,n2,quality_rating,report_id,result_id
CHUA_2019,Chua 2019,smd,24,symptoms,PANSS total,PANSS total score at 24 months,NA,NA,Meaningfully employed at 24 months,65.8,17.3,829,Unemployed at 24 months,69.9,17.5,348,Moderate,36,CHUA_2019__smd__panss_total__24m
CHUA_2019,Chua 2019,smd,24,symptoms,PANSS negative,PANSS negative subscale score at 24 months,NA,NA,Meaningfully employed at 24 months,12.3,6.6,829,Unemployed at 24 months,15.1,8.1,348,Moderate,37,CHUA_2019__smd__panss_negative__24m
CHUA_2019,Chua 2019,smd,24,functioning,GAF disability,GAF disability subscale score at 24 months,NA,NA,Meaningfully employed at 24 months,46.2,13.5,829,Unemployed at 24 months,43.3,12.4,348,Moderate,38,CHUA_2019__smd__gaf_disability__24m
LIN_2026,Lin 2026,correlation,18,symptoms,PANSS remission,PANSS remission at month 18,0.18,280,,NA,NA,NA,,NA,NA,NA,Weak,39,LIN_2026__correlation__panss_remission__18m
LIN_2026,Lin 2026,correlation,18,functioning,PSP remission,PSP score >70 at month 18 (functional remission),0.33199999999999996,280,,NA,NA,NA,,NA,NA,NA,Weak,40,LIN_2026__correlation__psp_remission__18m
POTHIER_2019,Pothier 2019,correlation,6,cognition,Working memory (MCCB),MATRICS Consensus Cognitive Battery _ working memory domain T-score at baseline,0.38,27,,NA,NA,NA,,NA,NA,NA,Moderate,41,POTHIER_2019__correlation__working_memory_mccb___6m
POTHIER_2019,Pothier 2019,correlation,6,cognition,Speed of processing (MCCB),MATRICS Consensus Cognitive Battery _ speed of processing domain T-score at baseline,0.39,27,,NA,NA,NA,,NA,NA,NA,Moderate,42,POTHIER_2019__correlation__speed_of_processing_mccb___6m
POTHIER_2019,Pothier 2019,correlation,6,cognition,Attention / vigilance (MCCB),MATRICS Consensus Cognitive Battery _ attention/vigilance domain T-score at baseline,0.36,27,,NA,NA,NA,,NA,NA,NA,Moderate,43,POTHIER_2019__correlation__attention_vigilance_mccb___6m
POTHIER_2019,Pothier 2019,correlation,6,cognition,Global cognition (MCCB),MATRICS Consensus Cognitive Battery _ global cognitive index composite T-score at baseline,0.32,27,,NA,NA,NA,,NA,NA,NA,Moderate,44,POTHIER_2019__correlation__global_cognition_mccb___6m
