report_id,study_id,study_id_clean,result_id,author,year,country,region,design,setting,diagnosis,diagnostic_tool,n_total,pct_male,mean_age,sd_age,follow_up_months,timepoint_months,effect_type,outcome_domain,outcome_measure,outcome_definition,outcome_basis,events,n_assessed,events_intervention,n_intervention,events_control,n_control,intervention_name,comparator,r,n_r,group1_label,mean1,sd1,n1,group2_label,mean2,sd2,n2,reported_es_type,reported_es,reported_ci_low,reported_ci_high,reported_p,quality_tool,quality_rating,page_source,extractor,checker,notes,author_key,year_online,study_key,study_label,events_raw,n_assessed_raw,timepoint_months_raw,events_intervention_raw,events_control_raw,n_control_raw
11,ERICKSON_002,ERICKSON_2021,ERICKSON_2021__trial_binary__competitive_employment__12m,Erickson,2021,Canada,North America,RCT,Outpatient,FEP,Clinical records (BPRS used for symptom severity),109,82.6,23.05,3.4,12,12,trial_binary,employment,Competitive employment,Any competitive paid work during the 6_12 month follow-up period,period,NA,NA,34,47,25,50,IPS + TAU,TAU,NA,NA,,NA,NA,NA,,NA,NA,NA,RR,1.45,NA,NA,,EPHPP,Strong,p.5 Table 2,YN,HZ,"Denominators 47 and 50 reconstructed from the printed counts and percentages (34, 72.3%; 25, 50.0%) in Table 2; randomised 56 vs 53",ERICKSON,2021,ERICKSON_2021,Erickson 2021,NA,NA,12,34,25,50
12,FOWLER_001,FOWLER_2019,FOWLER_2019__proportion__paid_work__24m,Fowler,2019,UK,Europe,RCT,Outpatient,FEP,Clinical diagnosis (SCID/clinical assessment),77,NA,25,NA,24,24,proportion,employment,Paid work,Engaged in paid work at any point in the year following the end of therapy (24-month follow-up),period,5,44,NA,NA,NA,NA,,,NA,NA,,NA,NA,NA,,NA,NA,NA,proportion,0.114,NA,NA,,EPHPP,Strong,p.4 Table 1,YN,HZ,,FOWLER,2019,FOWLER_2019,Fowler 2019,5,44,24,NA,NA,NA
13,FOWLER_002,FOWLER_2019,FOWLER_2019__trial_binary__paid_work__24m,Fowler,2019,UK,Europe,RCT,Outpatient,FEP,Clinical diagnosis (SCID/clinical assessment),77,NA,25,NA,24,24,trial_binary,employment,Paid work,Engaged in paid work at any point in the year following the end of therapy (24-month follow-up),period,NA,NA,5,20,0,24,SRT + TAU,TAU,NA,NA,,NA,NA,NA,,NA,NA,NA,RR,13.15,NA,NA,0.03,EPHPP,Strong,p.4 Table 1,YN,HZ,Non-affective subgroup of the ISREP 24-month follow-up (77 randomised),FOWLER,2019,FOWLER_2019,Fowler 2019,NA,NA,24,5,0,24
14,HEGELSTAD_001,HEGELSTAD_2019,HEGELSTAD_2019__proportion__competitive_employment__12m,Hegelstad,2019,Norway,Europe,Cohort,Outpatient,FEP,SCID,66,45.5,21.5,4.5,12,12,proportion,employment,Competitive employment,Competitive employment >20h/wk at 1-year follow-up,point,16,57,NA,NA,NA,NA,,,NA,NA,,NA,NA,NA,,NA,NA,NA,proportion,0.267,NA,NA,,EPHPP,Strong,p.5 Table 2,YN,HZ,,HEGELSTAD,2018,HEGELSTAD_2018,Hegelstad 2019,16,60,12,NA,NA,NA
15,HEGELSTAD_002,HEGELSTAD_2019,HEGELSTAD_2019__trial_binary__competitive_employment__12m,Hegelstad,2019,Norway,Europe,Cohort,Outpatient,FEP,SCID,66,45.5,21.5,4.5,12,12,trial_binary,employment,Competitive employment,Competitive employment >20h/wk at 1-year follow-up,point,NA,NA,14,30,2,27,Job- and SchoolPrescription (IPS adaptation),Generic employment/educational services,NA,NA,,NA,NA,NA,,NA,NA,NA,RR,7,NA,NA,,EPHPP,Strong,p.5 Table 2 3,YN,HZ,,HEGELSTAD,2018,HEGELSTAD_2018,Hegelstad 2019,NA,NA,12,14,2,30
16,HUMENSKY_001,HUMENSKY_2017,HUMENSKY_2017__proportion__work_only__12m,Humensky,2017,USA,North America,Cohort,Outpatient,FEP,SCID/DSM-IV,65,65,22.3,4.8,24,12,proportion,employment,Work only,Working but not in school at 12-month follow-up,period,12,43,NA,NA,NA,NA,,,NA,NA,,NA,NA,NA,,NA,NA,NA,proportion,0.27,NA,NA,,EPHPP,Weak,p.2 Figure 2,YN,HZ,,HUMENSKY,2017,HUMENSKY_2017,Humensky 2017,12,43,12,NA,NA,NA
17,KILLACKEY_001,KILLACKEY_2008,KILLACKEY_2008__proportion__competitive_employment__6m,Killackey,2008,Australia,Oceania,RCT,Outpatient,FEP,SCID,41,80.5,21.4,2.3,6,6,proportion,employment,Competitive employment,Obtained competitive employment during 6-month follow-up period,period,15,41,NA,NA,NA,NA,,,NA,NA,,NA,NA,NA,,NA,NA,NA,proportion,0.366,NA,NA,,EPHPP,Strong,p.4 Results,YN,HZ,,KILLACKEY,2008,KILLACKEY_2008,Killackey 2008,15,41,6,NA,NA,NA
18,KILLACKEY_002,KILLACKEY_2008,KILLACKEY_2008__trial_binary__competitive_employment__6m,Killackey,2008,Australia,Oceania,RCT,Outpatient,FEP,SCID,41,80.5,21.4,2.3,6,6,trial_binary,employment,Competitive employment,Obtained competitive employment during 6-month follow-up period,period,NA,NA,13,20,2,21,IPS + TAU,TAU,NA,NA,,NA,NA,NA,,NA,NA,NA,RR,6.84,NA,NA,p<0.001,EPHPP,Strong,p.4 Results,YN,HZ,,KILLACKEY,2008,KILLACKEY_2008,Killackey 2008,NA,NA,6,13,2,21
19,KILLACKEY_001,KILLACKEY_2019,KILLACKEY_2019__proportion__competitive_employment__12m,Killackey,2019,Australia,Oceania,RCT,Outpatient,FEP,SCID,146,69.2,20.4,2.4,18,6,proportion,employment,Competitive employment,Worked at least 1 day in paid employment during 0_6 month follow-up period (arms pooled),period,76,126,NA,NA,NA,NA,,,NA,NA,,NA,NA,NA,,NA,NA,NA,proportion,0.603,NA,NA,,EPHPP,Strong,"Figure 1, p.3 Results",YN,HZ,,KILLACKEY,2019,KILLACKEY_2019,Killackey 2019,76,126,12,NA,NA,NA
20,KILLACKEY_002,KILLACKEY_2019,KILLACKEY_2019__trial_binary__competitive_employment__6m,Killackey,2019,Australia,Oceania,RCT,Outpatient,FEP,SCID,146,69.2,20.4,2.4,18,6,trial_binary,employment,Competitive employment,Worked at least 1 day in paid employment during 0_6 month follow-up period,period,NA,NA,47,66,29,60,IPS + TAU,TAU,NA,NA,,NA,NA,NA,,NA,NA,NA,RR,1.47,1.09,1.99,0.025,EPHPP,Strong,p.3 Results,YN,HZ,,KILLACKEY,2019,KILLACKEY_2019,Killackey 2019,NA,NA,6,47,29,60
