row,bf_quadrature,bf_bridge_historical_unseeded,bf_bridge_replay_seeded_20260901,relative_difference_pct,within_5pct_tolerance,agrees_2sf_historical,agrees_2sf_replay,relative_discrepancy_pct_historical,relative_discrepancy_pct_replay
h1_scale_label=primary_log2,6.411783119864335,6.49180438214092,6.623551628445712,2.029,True,FALSE,FALSE,1.2480344512694197,3.3028021163925114
h1_scale_label=frederick_published,7.060945517569785,7.224435314562805,7.3059597681776225,1.128,True,FALSE,FALSE,2.31540941062649,3.469992085311624
h1_scale_label=bond2015,6.994646013994833,6.9669703996029755,7.220790760616933,3.643,True,TRUE,FALSE,0.3956685490085543,3.233112099877977
h1_scale_label=bond2016,6.493354474368314,6.655992415006488,6.715834111731614,0.899,True,FALSE,FALSE,2.50468292282775,3.4262666275422182
h1_scale_label=modini2016,5.668679232294824,5.724439402838045,5.862728575285392,2.416,True,TRUE,FALSE,0.9836536564911125,3.4231843969060094
