path,class,note
output/tables/tableS_corrections.tex,identical,
output/tables/tableS_external_frederick.tex,identical,
output/tables/tableS_mcmc_diagnostics.csv,identical,
output/tables/tableS_mcmc_diagnostics.tex,identical,
output/tables/tableS_metaregression.csv,identical,
output/tables/tableS_metaregression.tex,identical,
output/tables/tableS_other_comparisons.csv,identical,
output/tables/tableS_other_comparisons.tex,identical,
output/tables/tableS_prevalence_loo.csv,identical,
output/tables/tableS_prevalence_loo.tex,identical,
output/tables/tableS_publication_bias.csv,identical,
output/tables/tableS_publication_bias.tex,identical,
output/tables/tableS_recovery.csv,identical,
output/tables/tableS_recovery.tex,identical,
output/tables/tableS_trial_counts.csv,identical,
output/tables/tableS_trial_counts.tex,identical,
