Analysis,Study left out,k,Estimate
Prevalence (A33 point primary),ABDELBAKI_2013,5,29.7 (18.6 to 44.9)
Prevalence (A33 point primary),ANDERSEN_2024,5,31.0 (18.4 to 48.3)
Prevalence (A33 point primary),CRAIG_2014,5,33.1 (20.4 to 50.7)
Prevalence (A33 point primary),DUDLEY_2014,5,35.8 (26.4 to 47.5)
Prevalence (A33 point primary),HEGELSTAD_2019,5,32.5 (20.1 to 49.6)
Prevalence (A33 point primary),RINALDI_2010,5,29.5 (18.2 to 45.4)
"IPS trials (A33, months 0 to 6)",ERICKSON_2021,2,1.77 (0.83 to 4.33)
"IPS trials (A33, months 0 to 6)",KILLACKEY_2008,2,1.23 (0.66 to 2.11)
"IPS trials (A33, months 0 to 6)",KILLACKEY_2019,2,1.46 (0.67 to 4.07)
