raw_row_id,report_id,study_id_clean,registry_key,doi,cohort_id,result_id,result_id_current,result_uid,effect_type,in_primary_set,analysis_set,id_changed
33,R10,VANDUIN_2021,vanduin2021,10.1016/j.schres.2021.07.025,VANDUIN_2021,VANDUIN_2021__proportion__competitive_employment__18m,VANDUIN_2021__proportion__competitive_employment__18m,R10_01,proportion,TRUE,NA,FALSE
34,R10,VANDUIN_2021,vanduin2021,10.1016/j.schres.2021.07.025,VANDUIN_2021,VANDUIN_2021__trial_binary__competitive_employment__18m,VANDUIN_2021__trial_binary__competitive_employment__18m,R10_02,trial_binary,NA,excluded_addon,FALSE
35,R23,WILLIAMS_2016,williams2016,10.1177/0308022615625649,WILLIAMS_2016,WILLIAMS_2016__proportion__job_retention__6m,WILLIAMS_2016__proportion__job_retention__6m,R23_01,proportion,FALSE,NA,FALSE
36,R17,CHUA_2019,chua2019,10.1016/j.schres.2019.07.009,CHUA_2019,CHUA_2019__smd__panss_total__24m,CHUA_2019__smd__panss_total__24m,R17_02,smd,NA,NA,FALSE
37,R17,CHUA_2019,chua2019,10.1016/j.schres.2019.07.009,CHUA_2019,CHUA_2019__smd__panss_negative__24m,CHUA_2019__smd__panss_negative__24m,R17_03,smd,NA,NA,FALSE
38,R17,CHUA_2019,chua2019,10.1016/j.schres.2019.07.009,CHUA_2019,CHUA_2019__smd__gaf_disability__24m,CHUA_2019__smd__gaf_disability__24m,R17_04,smd,NA,NA,FALSE
39,R15,LIN_2026,lin2026,10.1016/j.psychres.2026.116955,LIN_2026,LIN_2026__correlation__panss_remission__18m,LIN_2026__correlation__panss_remission__18m,R15_02,correlation,NA,NA,FALSE
40,R15,LIN_2026,lin2026,10.1016/j.psychres.2026.116955,LIN_2026,LIN_2026__correlation__psp_remission__18m,LIN_2026__correlation__psp_remission__18m,R15_03,correlation,NA,NA,FALSE
41,R07,POTHIER_2019,pothier2019,10.1016/j.scog.2019.100158,POTHIER_2019,POTHIER_2019__correlation__working_memory_mccb___6m,POTHIER_2019__correlation__working_memory_mccb___6m,R07_02,correlation,NA,NA,FALSE
42,R07,POTHIER_2019,pothier2019,10.1016/j.scog.2019.100158,POTHIER_2019,POTHIER_2019__correlation__speed_of_processing_mccb___6m,POTHIER_2019__correlation__speed_of_processing_mccb___6m,R07_03,correlation,NA,NA,FALSE
43,R07,POTHIER_2019,pothier2019,10.1016/j.scog.2019.100158,POTHIER_2019,POTHIER_2019__correlation__attention_vigilance_mccb___6m,POTHIER_2019__correlation__attention_vigilance_mccb___6m,R07_04,correlation,NA,NA,FALSE
44,R07,POTHIER_2019,pothier2019,10.1016/j.scog.2019.100158,POTHIER_2019,POTHIER_2019__correlation__global_cognition_mccb___6m,POTHIER_2019__correlation__global_cognition_mccb___6m,R07_05,correlation,NA,NA,FALSE
