study_id,year,seq,column,value_2026_08_28,value_2026_09_11,status
POTHIER_001,2019,1,page_source,p.4 Results,p.4 Results; Table 2,differs
ROSENHECK_001,2017,1,events,64,71,differs
ROSENHECK_001,2017,1,n_assessed,282,315,differs
ROSENHECK_001,2017,1,page_source,p.6 Table 1,p.5 Results; p.6 Table 1,differs
ROSENHECK_001,2017,1,pct_male,72,72.5,differs
ROSENHECK_001,2017,1,reported_es,0.227,0.225,differs
ROSENHECK_001,2017,1,timepoint_months,12,6,differs
ROSENHECK_002,2017,1,events_control,21,33,differs
ROSENHECK_002,2017,1,events_intervention,30,38,differs
ROSENHECK_002,2017,1,n_control,83,133,differs
ROSENHECK_002,2017,1,n_intervention,144,182,differs
ROSENHECK_002,2017,1,page_source,"Table 1, p.4 Results",,differs
ROSENHECK_002,2017,1,pct_male,72,72.5,differs
ROSENHECK_002,2017,1,reported_es,0.82,/,differs
ROSENHECK_002,2017,1,reported_es_type,RR,/,differs
ROSENHECK_002,2017,1,reported_p,,0.16,differs
ROSENHECK_002,2017,1,timepoint_months,24,6,differs
TAPFUMANEYI_001,2014,1,timepoint_months,12,0_12,differs
TURNER_001,2019,1,follow_up_months,18,2_44,differs
TURNER_001,2019,1,timepoint_months,18,2_44,differs
VANDUIN_002,2021,1,page_source,p.5 Table 2,,differs
VANDUIN_002,2021,1,reported_es,2.4,/,differs
VANDUIN_002,2021,1,reported_es_type,RR,/,differs
