study_id,author,year,country,region,design,setting,diagnosis,diagnostic_tool,n_total,pct_male,mean_age,sd_age,follow_up_months,timepoint_months,effect_type,outcome_domain,outcome_measure,outcome_definition,outcome_basis,events,n_assessed,page_source,events_intervention,n_intervention,events_control,n_control,intervention_name,comparator,r,n_r,group1_label,mean1,sd1,n1,group2_label,mean2,sd2,n2,reported_es_type,reported_es,reported_ci_low,reported_ci_high,reported_p,reported_source,corrected_es,corrected_ci_low,corrected_ci_high,corrected_source,derived_RR,derived_es,derived_ci_low,derived_ci_high,pct_schizophrenia,pct_schizoaffective,pct_bipolar,pct_psychotic_depression,pct_other,diagnostic_source,illness_duration_mean,illness_duration_source,quality_tool,quality_rating_Selection Bias,quality_rating_Study Design,quality_rating_Confounders,quality_rating_Data Collection Methods,quality_rating_Withdrawals and Dropouts,quality_rating_Analyses (appropriateness),quality_rating,extractor,checker,notes
ERICKSON_003,Erickson,2021,Canada,North America,RCT,Outpatient,FEP,Clinical records (BPRS used for symptom severity),109,82.6,23.05,3.4,12,6_12,trial_binary,employment,Competitive employment,Any competitive paid work during the 6_12 month follow-up period,period,,,,34,56,25,53,IPS + TAU,TAU,,,,,,,,,,,/,/,,,0.02,,,,,,RR,1.29,0.9,1.83,,,,,,,,,EPHPP,Moderate,Strong,Strong,Strong,Strong,Yes,Strong,YN,HZ,
FOWLER_001,Fowler,2019,UK,Europe,RCT,Outpatient,FEP,Clinical diagnosis£¨SCID/clinical assessment£©,77,/,25,/,24,24,proportion,employment,Paid work,Engaged in paid work at any point in the year following the end of therapy (24-month follow-up),period,9,29,p.4 Table 1; Results,,,,,,,,,,,,,,,,,proportion,0.31,,,,,,,,,,,,,,,,,,,,,EPHPP ,Moderate,Strong,Strong,Strong,Strong,Yes,Strong,YN,HZ,
FOWLER_002,Fowler,2019,UK,Europe,RCT,Outpatient,FEP,Clinical diagnosis£¨SCID/clinical assessment£©,77,/,25,/,24,24,trial_binary,employment,Paid work,Engaged in paid work at any point in the year following the end of therapy (24-month follow-up),period,,,,9,29,6,37,SRT + TAU,TAU,,,,,,,,,,,/,/,,,0.15,p.4 Table 1,,,,,RR,1.91,0.77,4.76,,,,,,p.3 Fig. 1; p.4 Table 1,,,EPHPP ,Moderate,Strong,Strong,Strong,Strong,Yes,Strong,YN,HZ,
HEGELSTAD_001,Hegelstad,2018,Norway,Europe,Cohort,Outpatient,FEP,SCID,66,45.5,21.5,4.5,12,12,proportion,employment,Competitive employment,Competitive employment >20h/wk at 1-year follow-up,point,16,60,p.5 Table 2; Results,,,,,,,,,,,,,,,,,proportion,0.267,,,,,,,,,,,,,39.4,19.7,,,40.9,p.5 Table 1,,,EPHPP,Moderate,Moderate,Moderate,Strong,Moderate,Yes,Strong,YN,HZ,
HEGELSTAD_002,Hegelstad,2018,Norway,Europe,Cohort,Outpatient,FEP,SCID,66,45.5,21.5,4.5,12,12,trial_binary,employment,Competitive employment,Competitive employment >20h/wk at 1-year follow-up,point,,,,14,30,2,30,Job- and SchoolPrescription£¨IPS adaptation£©,Generic employment/educational services,,,,,,,,,,,/,/,,,<0.05,,,,,,RR,7,1.74,28.2,,,,,,,,,EPHPP,Moderate,Moderate,Moderate,Strong,Moderate,Yes,Strong,YN,HZ,
HUMENSKY_001,Humensky,2017,USA,North America,Cohort,Outpatient,FEP,SCID/DSM-IV,65,65,22.3,4.8,24,0_24,proportion,employment,Working only or both working and in school at any time during program participation,Working only or both working and in school at any time during program participation,period,34,65,p.3 Table 1£»p.2 Results,,,,,,,,,,,,,,,,,proportion,0.523,,,,,,,,,,,,,,,,,,,,,EPHPP ,Moderate,Weak,Moderate,Strong,Weak,Yes,Weak,YN,HZ,
KILLACKEY_001,Killackey,2008,Australia,Oceania,RCT,Outpatient,FEP,SCID,41,80.5,21.4,2.3,6,0_6,proportion,employment,Competitive employment,Obtained competitive employment during 6-month follow-up period,period,15,41,p.4 Results; p.5 Fig 3,,,,,,,,,,,,,,,,,proportion,0.366,,,,,,,,,,,,,,,,,,,13.92 month,p.4 Table 1,EPHPP,Strong,Strong,Strong,Strong,Strong,Yes,Strong,YN,HZ,
KILLACKEY_002,Killackey,2008,Australia,Oceania,RCT,Outpatient,FEP,SCID,41,80.5,21.4,2.3,6,0_6,trial_binary,employment,Competitive employment,Obtained competitive employment during 6-month follow-up period,period,,,,13,20,2,21,IPS + TAU,TAU,,,,,,,,,,,/,/,,,p<0.001,,,,,,RR,6.84,1.76,26.53,,,,,,,,,EPHPP,Strong,Strong,Strong,Strong,Strong,Yes,Strong,YN,HZ,
KILLACKEY_001,Killackey,2019,Australia,Oceania,RCT,Outpatient,FEP,SCID,146,69.2,20.4,2.4,12,0_6,proportion,employment,Competitive employment,Worked at least 1 day in paid employment during 6_12 month follow-up period,period,76,126,"Figure 1, p.3 Results",,,,,,,,,,,,,,,,,proportion,0.603,,,,,,,,,,,,,43.8,13,13.7,11.6,6.2,p.2 Participants,,,EPHPP,Strong,Strong,Moderate,Strong,Strong,Yes,Strong,YN,HZ,
KILLACKEY_002,Killackey,2019,Australia,Oceania,RCT,Outpatient,FEP,SCID,146,69.2,20.4,2.4,18,0_6,trial_binary,employment,Competitive employment,Worked at least 1 day in paid employment during 0_6 month follow-up period,period,,,,47,66,29,60,IPS + TAU,TAU,,,,,,,,,,,OR,3.4,1.17,9.91,0.025,p.4 Results,3.57,1.19,10.7,0.023,RR,1.47,1.09,1.99,,,,,,,,,EPHPP,Strong,Strong,Moderate,Strong,Strong,Yes,Strong,YN,HZ,
LIN_001,Lin,2026,Asia-Pacific,Asia,Cohort,Outpatient,FES,DSM-IV,474,65.6,28.6,7.9,18,18,proportion,employment,Competitive employment,Full- or part-time employment at 12-month follow-up,point,215,474,p.3 Results; p.4 Fig 1,,,,,,,,,,,,,,,,,proportion,0.454,,,,,,,,,,,,,,,,,,,,,EPHPP,Moderate,Weak,Moderate,Strong,Weak,Yes,Weak,YN,HZ,
